brand_id,brand_name,company_name,company_id
337,Liz Jordan,Noni B,129
338,Noni B,Noni B,129
339,Queenspark,Noni B,129
340,Nudie Jeans,Nudie Jeans,130
341,Oakley,Oakley,131
342,Oroton,OrotonGroup,132
343,Oxford,Oxford,133
344,Black Pepper,PAS Group,134
345,Breakaway,PAS Group,134
346,Equus,PAS Group,134
347,Marco Polo,PAS Group,134
348,Review,PAS Group,134
349,Yarra Trail,PAS Group,134
350,Yvonne Black,PAS Group,134
351,Pavement,Pavement United Brands,135
352,Pelaco,Pelaco,136
353,Toronto,Pelaco,136
354,Perri Cutten,Perri Cutten,137
355,Jantzen,Perry Ellis International,138
356,MCD,Perry Ellis International,138
357,Redsand,Perry Ellis International,138
358,Pierre Cardin,Pierre Cardin,139
359,Pilgrim,Pilgrim Clothing,140
360,A League,PlayCorp,141
361,AFL,PlayCorp,141
362,Boomdoggers,PlayCorp,141
363,Milly,PlayCorp,141
364,NRL,PlayCorp,141
365,Prada,Prada,142
366,BeMe,Pretty Girl,143
367,Rockmans,Pretty Girl,143
368,Table Eight,Pretty Girl,143
369,W. Lane,Pretty Girl,143
370,Charlie & Me,Pumpkin Patch,144
371,Pumpkin Patch,Pumpkin Patch,144
372,Urban Angel,Pumpkin Patch,144
373,Pure Pod,Pure Pod,145
374,Bracks,PVH Brands,146
375,Calvin Klein,PVH Brands,146
376,Calvin Klein Collection,PVH Brands,146
377,Calvin Klein Jeans,PVH Brands,146
378,Calvin Klein Performance,PVH Brands,146
379,Fred Bracks,PVH Brands,146
380,Hold Me Tight,PVH Brands,146
381,Nancy Ganz,PVH Brands,146
382,Paramount,PVH Brands,146
383,Pierre Cardin,PVH Brands,146
384,Spanx,PVH Brands,146
385,Tommy Hilfiger,PVH Brands,146
386,Trent Nathan,PVH Brands,146
387,Van Heusen,PVH Brands,146
388,Arrow,PVH,147
389,Izod,PVH,147
390,Olga,PVH,147
391,Warner's,PVH,147
392,R M Williams,R M Williams,148
393,Polo Ralph Lauren,Ralph Lauren,149
394,Ralph Lauren,Ralph Lauren,149
395,Connor,Retail Apparel Group,150
396,Johnny Bigg,Retail Apparel Group,150
397,Rockwear,Retail Apparel Group,150
398,Tarocash,Retail Apparel Group,150
399,yd.,Retail Apparel Group,150
400,Rhodes & Beckett,Rhodes & Beckett,151
401,Cartier,Richemont,152
402,Chloe,Richemont,152
403,Rip Curl,Rip Curl,153
404,Rivers,Rivers,154
405,Roadhouse,Roadhouse,155
406,Rodd & Gunn,Rodd & Gunn,156
407,rrepp,Rrepp,157
408,Macbeth,Saban Brands,158
409,Mambo,Saban Brands,158
410,Paul Frank,Saban Brands,158
411,Piping Hot,Saban Brands,158
412,Abelard,Salco,159
413,Geoffrey Beene,Salco,159
414,Bluejuice,Seduce,160
415,Katherine,Seduce,160
416,Seduce,Seduce,160
417,Seed,Seed Heritage,161
418,Sinerji,Sinerji,162
419,Miss Sixty,Sixty,163
420,Sonia Rykiel,Sonia by Sonia Rykiel,164
421,Autograph,Specialty Fashion Group,165
422,City Chic,Specialty Fashion Group,165
423,Crossroads,Specialty Fashion Group,165
424,Katies,Specialty Fashion Group,165
425,Millers,Specialty Fashion Group,165
426,Lonsdale,Sports Direct,166
427,Anthony Squires,Stafford Group,167
428,F.I.T.S.,Stafford Group,167
429,Giotto New-Gen,Stafford Group,167
430,Stafford Ellinson,Stafford Group,167
431,All About Eve,Stage II,168
432,Sportsgirl,Sussan Group,169
433,Sussan,Sussan Group,169
434,Suzanne Grae,Sussan Group,169
435,Syke,Syke,170
436,Temperley London,Temperley London,171
437,The Ark,The Ark,172
438,Thomas Cook,Thomas Cook Boot & Clothing,173
439,Thurley,Thurley,174
440,Topman,Topshop,175
441,Topshop,Topshop,175
442,Tree of Life,Tree of Life,176
443,Taking Shape,TS 14+,177
444,TS 14+,TS 14+,177
445,Uniqlo,Uniqlo,178
446,Valentino,Valentino Fashion Group,179
447,Vera Wang Lavender,Vera Wang,180
448,Versace,Versace,181
449,Lee,VF Corporation,182
450,Lucy,VF Corporation,182
451,Majestic,VF Corporation,182
452,Nautica,VF Corporation,182
453,Reef,VF Corporation,182
454,Riders by Lee,VF Corporation,182
455,Rock & Republic,VF Corporation,182
456,Rustler,VF Corporation,182
457,SmartWool,VF Corporation,182
458,Vans,VF Corporation,182
459,Wrangler,VF Corporation,182
460,Viktor & Rolf,Viktor & Rolf,183
461,Viktoria,Viktoria + Woods,184
462,Vivienne Westwood Red Label,Vivienne Westwood,185
463,Jump,Voyager Distributing Co,186
464,Kachel,Voyager Distributing Co,186
465,Ping Pong,Voyager Distributing Co,186
466,Yo Gabba Gabba!,Wild Brain,187
467,Azuki,Wish,188
468,Truese,Wish,188
469,Wish,Wish,188
470,Yeojin Bae,Yeojin Bae,189
471,Zara,Zara,190
472,Zimmermann,Zimmermann,191
